"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"liver","GO:0050818","regulation of coagulation","7/167","23/4524",1.22532874905025e-05,0.000462636317934094,0.000417461168161664,"F2/PLG/SERPINC1/SERPING1/PROC/SERPINF2/PROS1",7
"liver","GO:0050994","regulation of lipid catabolic process","6/167","16/4524",1.3622464751093e-05,0.000502085129397427,0.000453057912899759,"APOA2/APOC2/RARRES2/GPLD1/LDLR/SCARB1",6
"liver","GO:0050778","positive regulation of immune response","14/167","100/4524",1.40460832167465e-05,0.000505658995802875,0.000456282801190273,"C3/CFH/C4BPA/C9/CFB/C1S/C4A/C6/SERPING1/C5/C2/PCK1/GPLD1/C4BPB",14
"liver","GO:0046890","regulation of lipid biosynthetic process","9/167","42/4524",1.60194550352744e-05,0.000563593554422836,0.0005085602112873,"C3/APOC3/APOC2/ELOVL5/INSIG1/PCK1/GPLD1/LDLR/SCARB1",9
"liver","GO:0016051","carbohydrate biosynthetic process","9/167","43/4524",1.96251781819558e-05,0.000665236714573145,0.000600278199536627,"SLC39A14/RGN/IGF1/MST1/UGP2/GULO/PCK1/G6PC1/PC",9
"liver","GO:0005996","monosaccharide metabolic process","11/167","65/4524",1.9768016066127e-05,0.000665236714573145,0.000600278199536627,"PFKFB1/SLC39A14/RGN/IGF1/MST1/IGF2/GULO/PCK1/GPLD1/G6PC1/PC",11
"liver","GO:0002449","lymphocyte mediated immunity","10/167","55/4524",2.49135181440495e-05,0.000820555874191247,0.000740430875188212,"C3/C4BPA/C9/C1S/C4A/C6/C5/C2/ARG1/C4BPB",10
"liver","GO:0006869","lipid transport","12/167","80/4524",2.92171822160978e-05,0.000942254126469154,0.000850245631595654,"APOA2/APOC3/APOC2/LIPC/APOC4/SLC22A9/LBP/SCP2/PCTP/MTTP/LDLR/SCARB1",12
"liver","GO:0006629","lipid metabolic process","31/167","397/4524",3.72867861933646e-05,0.00117795806178221,0.00106293373315993,"C3/TTR/APOA2/APOC3/APOC2/LIPC/CROT/AOX1/ESR1/PLCB1/ELOVL5/HSD17B6/ALDH1A1/SCP2/INSIG1/FADS2/RARRES2/PEMT/TM7SF2/CHPT1/PCK1/BCKDHB/ACAD8/FAH/GPLD1/FDFT1/G6PC1/PLPP3/LDLR/PC/SCARB1",31
"liver","GO:0009072","aromatic amino acid family metabolic process","5/167","12/4524",4.14387769732209e-05,0.00127707813169074,0.00115237500391242,"TDO2/PAH/TAT/HPD/FAH",5
