"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",129.687052024793,0,0
"Forestomach_epithelial - Kidney",189.494095309398,0,0
"Heart - Kidney",13.4348857177013,3.7765089886696e-41,2.26590539320176e-40
"Forestomach_epithelial - liver",136.857948986236,0,0
"Heart - liver",-23.3330176415505,2.05005337039692e-120,1.23003202223815e-119
"Kidney - liver",-46.9979144837377,0,0
