"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",-149.449802568637,0,0
"Forestomach_epithelial - Kidney",-73.3732005961037,0,0
"Heart - Kidney",90.7964392999015,0,0
"Forestomach_epithelial - liver",-108.864050422947,0,0
"Heart - liver",62.9564125854803,0,0
"Kidney - liver",-34.6986045007141,8.26944773391148e-264,4.96166864034689e-263
