"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",-79.2734246828412,0,0
"Forestomach_epithelial - Kidney",-168.99284011539,0,0
"Heart - Kidney",-47.1778994154542,0,0
"Forestomach_epithelial - liver",-94.8635852560613,0,0
"Heart - liver",5.98819881316571,2.12177607594344e-09,1.27306564556607e-08
"Kidney - liver",67.6531615670929,0,0
