"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",-11.4228672795873,3.21450512336384e-30,1.9287030740183e-29
"Forestomach_epithelial - Kidney",28.4239990062529,1.02167414049305e-177,6.13004484295828e-177
"Heart - Kidney",31.8843029399836,4.40703588087754e-223,2.64422152852652e-222
"Forestomach_epithelial - liver",43.412863549435,0,0
"Heart - liver",43.0092229156526,0,0
"Kidney - liver",14.6159175567423,2.22338626447858e-48,1.33403175868715e-47
