"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",-56.3710206769164,0,0
"Forestomach_epithelial - Kidney",-191.878703495133,0,0
"Heart - Kidney",-86.1081462075448,0,0
"Forestomach_epithelial - liver",-177.370057596242,0,0
"Heart - liver",-76.8954972788639,0,0
"Kidney - liver",10.8651786812649,1.68892239333619e-27,1.01335343600172e-26
