"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",44.5528530076597,0,0
"Forestomach_epithelial - Kidney",-71.7017271953742,0,0
"Heart - Kidney",-95.6552390256041,0,0
"Forestomach_epithelial - liver",-91.3350793426867,0,0
"Heart - liver",-110.166961814368,0,0
"Kidney - liver",-19.660574157897,4.69384780269423e-86,2.81630868161654e-85
