"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",39.5127458337455,0,0
"Forestomach_epithelial - Kidney",-3.09528488268897,0.00196623943212086,0.0117974365927251
"Heart - Kidney",-40.4931015937592,0,0
"Forestomach_epithelial - liver",-27.4917292051064,2.20459270182433e-166,1.3227556210946e-165
"Heart - liver",-58.1946230704632,0,0
"Kidney - liver",-23.1435464110688,1.6884400641513e-118,1.01306403849078e-117
