"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",-38.8713577287775,0,0
"Forestomach_epithelial - Kidney",-90.3917637091331,0,0
"Heart - Kidney",-28.6504506285295,1.58246070215614e-180,9.49476421293682e-180
"Forestomach_epithelial - liver",-185.087461487255,0,0
"Heart - liver",-99.3773385014882,0,0
"Kidney - liver",-91.0051827757399,0,0
