"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",35.369668556853,4.99853477108418e-274,2.99912086265051e-273
"Forestomach_epithelial - Kidney",-67.60521087407,0,0
"Heart - Kidney",-83.7688723072471,0,0
"Forestomach_epithelial - liver",-64.2422265866959,0,0
"Heart - liver",-81.3555947042618,0,0
"Kidney - liver",2.17240580871644,0.0298250672666235,0.178950403599741
