"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",-14.6681615794545,1.03100780820995e-48,6.1860468492597e-48
"Forestomach_epithelial - Kidney",46.643659565289,0,0
"Heart - Kidney",48.3782184136537,0,0
"Forestomach_epithelial - liver",-42.0588484014488,0,0
"Heart - liver",-16.9858746828489,1.04484306461422e-64,6.2690583876853e-64
"Kidney - liver",-83.2808771540964,0,0
