"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",85.9432858277141,0,0
"Forestomach_epithelial - Kidney",212.506721084882,0,0
"Heart - Kidney",72.6198338036232,0,0
"Forestomach_epithelial - liver",159.360728106829,0,0
"Heart - liver",35.235963274797,5.62898381338532e-272,3.37739028803119e-271
"Kidney - liver",-47.13630271153,0,0
