"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",121.152308655712,0,0
"Forestomach_epithelial - Kidney",182.93770552329,0,0
"Heart - Kidney",16.8857086150071,5.732388519107e-64,3.4394331114642e-63
"Forestomach_epithelial - liver",7.69242883387185,1.44367785933006e-14,8.66206715598035e-14
"Heart - liver",-110.516174176606,0,0
"Kidney - liver",-163.175711375912,0,0
