"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",-77.4756055625183,0,0
"Forestomach_epithelial - Kidney",-205.010286334411,0,0
"Heart - Kidney",-75.3167568129303,0,0
"Forestomach_epithelial - liver",-154.388145408577,0,0
"Heart - liver",-39.6857396381643,0,0
"Kidney - liver",44.8590150001307,0,0
