"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",-50.4290625672878,0,0
"Forestomach_epithelial - Kidney",-115.127689207538,0,0
"Heart - Kidney",-35.6002660349986,1.38772807991258e-277,8.32636847947547e-277
"Forestomach_epithelial - liver",-113.258083887797,0,0
"Heart - liver",-35.2575991923052,2.62405182951766e-272,1.57443109771059e-271
"Kidney - liver",0.0475401690017357,0.962082716277736,1
