"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",53.4690146418984,0,0
"Forestomach_epithelial - Kidney",153.749712537443,0,0
"Heart - Kidney",60.9681707444859,0,0
"Forestomach_epithelial - liver",125.357633265935,0,0
"Heart - liver",41.2756582569012,0,0
"Kidney - liver",-24.5797364860733,2.08075827443332e-133,1.24845496465999e-132
