"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",35.4748702545685,1.19995231711336e-275,7.19971390268017e-275
"Forestomach_epithelial - Kidney",7.78945370804581,6.72995332860699e-15,4.03797199716419e-14
"Heart - Kidney",-28.6087165315452,5.2344671382563e-180,3.14068028295378e-179
"Forestomach_epithelial - liver",20.7876612019197,5.59732024242327e-96,3.35839214545396e-95
"Heart - liver",-18.6750876840698,7.89601679515204e-78,4.73761007709122e-77
"Kidney - liver",12.4225439592961,1.97189797722468e-35,1.18313878633481e-34
