"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",54.3077160827211,0,0
"Forestomach_epithelial - Kidney",41.198128183547,0,0
"Heart - Kidney",-22.3399684800029,1.51149900875153e-110,9.06899405250918e-110
"Forestomach_epithelial - liver",64.6844953747472,0,0
"Heart - liver",-4.32644781380863,1.51533199840295e-05,9.09199199041771e-05
"Kidney - liver",22.8520162662201,1.39546184712228e-115,8.37277108273369e-115
