"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",-55.1480990407575,0,0
"Forestomach_epithelial - Kidney",-152.446497025913,0,0
"Heart - Kidney",-58.3886200648967,0,0
"Forestomach_epithelial - liver",-193.191452768036,0,0
"Heart - liver",-89.7500382267135,0,0
"Kidney - liver",-40.8559758605548,0,0
