"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",82.6868381127131,0,0
"Forestomach_epithelial - Kidney",225.084708441115,0,0
"Heart - Kidney",84.9893692987586,0,0
"Forestomach_epithelial - liver",148.567863182767,0,0
"Heart - liver",30.3903269110748,7.37276969889287e-203,4.42366181933572e-202
"Kidney - liver",-69.074375823336,0,0
