"Comparison","Z","P.unadj","P.adj"
"Forestomach_epithelial - Heart",53.7404015219894,0,0
"Forestomach_epithelial - Kidney",168.280227435568,0,0
"Heart - Kidney",71.3560451758037,0,0
"Forestomach_epithelial - liver",176.753805069653,0,0
"Heart - liver",78.9634880062284,0,0
"Kidney - liver",10.5400769342771,5.64526978743115e-26,3.38716187245869e-25
