"","an1","an2","an3","an4","an5","an6","an7","an8","an9","an10","an11","an12","an13","an14","an15","an16","an17","an18","an19"
"Abomasum_0",0.179869801217634,0.120977816228036,-0.115348355880956,0.0722942034672638,0.142000695478914,0.0449930048903623,-0.239197975550559,-0.214859869030388,-0.0917358665457604,0.102995183087709,0.632616412352982,0.52404411243543,-0.339171238943983,0.335533225467344,0.271554858459697,-0.214859869030388,0.642561907591143,0.7365967974633,-0.103003640926853
"Abomasum_1",0.0490174068947082,0.0884732533884833,-0.107928974165351,-0.03609926075108,0.0123588029432828,0.134664948452473,-0.296784260011935,-0.243309771896732,-0.127511295256408,0.0047473713749017,0.330339472256265,0.185347755673431,-0.342144142488248,0.185547699260891,0.242365728171271,-0.243309771896732,0.293494906157039,0.361064668626071,-0.121483603776591
"Abomasum_10",-0.0881958728064789,-0.0738732324461106,-0.104985709994518,0.035467016051339,-0.095415944862732,-0.00346816370169296,0.018830432763833,-0.00099320948739257,-0.0929666672720585,-0.0752660857477915,0.0140439987567041,0.0522364725966082,-0.103611249868268,-0.0855639484024796,-0.172527001318191,-0.000993209487392576,0.0221026538545772,0.0320788750679278,-0.0978966014004527
"Abomasum_11",0.105700588050761,0.438416549781101,0.411951546526848,0.0952696483511296,0.259316910923434,-0.136266292132515,0.0324767138537834,-0.029351141590787,-0.253123725814496,0.310892153933419,0.10323076115906,-0.0369899018739949,0.252478331853623,0.0399303672212653,0.108235976025206,-0.029351141590787,0.0721361873003454,0.0300278002668292,-0.100414629168472
"Abomasum_12",0.287520325971198,-0.0219494659411003,-0.0454798790078008,-0.0800245201908098,0.148910747923742,0.339350987542893,0.0324341156155762,-0.0386511917038051,-0.267880163622466,0.364199347739605,0.687876521115808,1.71120357252229,0.728468975849425,0.577440175886072,0.578409612082263,-0.0386511917038051,0.803595410008653,0.982793553862777,-0.0898570651866985
"Abomasum_13",0.0161190106414222,0.218695849152827,0.586384233423111,0.175799561188444,0.135407628375123,-0.111396618122479,0.0292626120357111,-0.0867552802865319,-0.282413684592046,0.190362764657445,0.169221753456169,-0.0757261257978542,0.520361426268968,-0.0983649964838668,0.182326706693445,-0.0867552802865319,0.132796650940959,0.134654415067265,0.0510691146723933
"Abomasum_14",-0.0844685281469791,-0.020729365365469,-0.0694006459222584,-0.225542970383842,-0.0597455726833699,-0.0614056440653414,0.139069581774517,-0.119595322357992,-0.41844360850114,-0.0191139822022853,-0.0370647195406783,-0.0909641736330537,-0.362000138346569,-0.133891239801319,-0.093184892195438,-0.119595322357992,-0.0528331761618732,-0.0862565715867334,-0.172299661053889
"Abomasum_15",-0.144157168687596,0.00404719971085539,-0.00361707561033944,0.0784063930178115,0.268305023674906,-0.141177336773173,0.130473638533945,0.0571007492375856,-0.167958835390433,0.108422272965847,-0.260852970694672,-0.29374381883679,-0.269753055071476,0.0738595719236219,-0.205361193168463,0.0571007492375856,-0.271893038786099,-0.278336907667495,-0.11532104441249
"Abomasum_16",0.0640471968747323,0.34206006523902,0.797682276826238,0.0796107555972072,0.0307558408852897,-0.188200676644805,-0.0176866821904526,-0.0443842673204486,-0.260415610861407,0.0430257874920381,0.0905882641083202,-0.0250618496719486,-0.0686308064418781,-0.0397151651276424,0.178854072026414,-0.0443842673204486,0.0746329003200812,0.0597034408777387,-0.0316487927713881
"Abomasum_17",0.103310594081402,-0.0317850459004159,-0.0241293252714937,-0.0233286321727577,0.0239116583817979,0.0647489005691246,0.0404282583502213,0.0703493878263733,-0.0800140181580981,0.0144860086350112,-0.132107079691998,0.520995169845189,0.119723209771305,0.136058783468795,0.101610103520072,0.0703493878263733,0.00494115577431934,0.0173564005941803,-0.071650534309286
"Abomasum_18",0.0194552187588437,0.768574683413107,1.04680662432993,0.146374194256469,0.3823024067228,-0.133659165694123,0.0225945242122792,-0.0929117579298403,-0.181218267702849,0.535643596562554,0.136752218545286,-0.00605393320329555,0.463322036136051,-0.0664732125338227,0.0250150496493436,-0.0929117579298403,0.168181409623604,0.108813690198335,0.016673702421281
