"","gen1","gen2","gen3","gen4","gen5","gen6","gen7","gen8","gen9","gen10","gen11","gen12","gen13","gen14","gen15","gen16"
"Abomasum_0",0.288410373293491,0.465927817123799,-0.0755099722675657,-0.286615737704117,0.250556499199501,-0.0616527911686022,-0.110993907041873,-0.0823922075173281,0.52404411243543,0.330636170318683,0.0238445915680551,0.418307160838504,-0.0693611440157801,-0.254292252689362,0.199018454413797,0.125517644625236
"Abomasum_1",-0.0325133653860327,0.0558414324190307,-0.0552439949612762,-0.259257155651592,-0.095303416337462,-0.035143543458991,-0.144380482532721,-0.0848628260650649,0.185347755673431,0.183161898631518,0.00981074826580845,0.269935845144953,0.0100485201505886,-0.312969615325785,0.0286382756626001,0.121855685411225
"Abomasum_10",0.0942889623555744,0.0220680661347209,-0.0198798347874716,-0.15667917247411,-0.0695905709939925,0.0758480792655067,-0.0337477283611864,0.121561460346255,0.0522364725966082,-0.0610237328126173,0.0157247178880295,0.00177487571513734,0.113565869571928,0.915328449485351,0.0662201301067949,-0.00360939558882429
"Abomasum_11",-0.0868413084485049,-0.0119924000517341,0.0382281499269618,-0.129241931988821,0.0084887025718842,-0.0755780466356872,0.0432240995445694,-0.0570521478997694,-0.036989901873995,-0.0602202530370132,-0.017917750133099,0.00745637936605981,-0.0896507573730337,-0.166623991639104,-0.0523019411232614,-0.0302274452887804
"Abomasum_12",0.136512970825552,0.603996928663059,-0.0131003588759744,-0.231495277583187,0.202710636679092,-0.0394958780725874,-0.0954957362761109,-0.104150791152265,1.71120357252229,-0.10183085474148,0.128151739457295,0.555170465666227,-0.0257913121989561,-0.201389439174827,-0.00512944150383688,0.0587651857568428
"Abomasum_13",0.0318932761313499,0.013896511490678,0.028235268958524,-0.189860382183996,0.0384496053266367,-0.0699299862414647,-0.0323619571477642,-0.0420228178596261,-0.0757261257978542,-0.0824476413051721,-0.00476824571079299,0.0812093646794984,-0.126581723677827,-0.344118566519948,0.0251962393789046,0.106937661479033
"Abomasum_14",-0.129399110476456,-0.0162601202577915,-0.0453714879637464,-0.175892069841856,-0.0155455617613809,-0.0695929760882583,-0.218646865813191,-0.159914081171275,-0.0909641736330537,0.00701923338072075,-0.093457261471697,0.138956054088259,0.0784898537802304,-0.27037717962167,-0.120262796999996,-0.0799766218055775
"Abomasum_15",-0.0397841527985458,-0.0879432296244512,0.026283935751827,-0.127255021100981,-0.00101787649757082,-0.0509347725555032,0.00200962736571848,0.00838561955400749,-0.29374381883679,-0.0807430115080996,-0.0795899238202226,-0.127307867991541,0.316808952197042,1.19756751876288,-0.0235968801217603,-0.0576171298225627
"Abomasum_16",-0.0665466818331638,0.0755794158043752,-0.006015469119468,-0.130169841282704,-0.0304666663484431,-0.101300183195149,0.00507708683004759,-0.126921467982731,-0.0250618496719486,-0.157257990911511,-0.0273256560712636,0.0902435642166352,-0.0549360420634246,-0.202396196015182,-0.0774308761689739,-0.0258918583684655
"Abomasum_17",0.404095081843449,0.0773165347007873,0.00732322429263184,-0.0456500304530418,0.25050779240798,0.041790020318481,0.183038152752187,0.203668501004138,0.520995169845189,0.495094268409285,0.0380859900185379,-0.112234166559817,0.163223509918746,0.374584374346732,0.291965313358468,0.128580858224839
"Abomasum_18",-0.0770633084173057,0.00136757148591502,-0.0227004943666496,-0.231367588099223,-0.0521721318086137,0.180072358993208,0.1063286569317,0.064869837775941,-0.00605393320329556,-0.00503907303948789,0.0446851029995293,0.0941773342510886,0.317929820543022,-0.232681765406072,-0.0734277153174171,-0.0562696754677592
"Abomasum_19",-0.101104777401696,-0.00092869137766712,0.0271739831905944,-0.195732971437955,0.0140036458003812,-0.0871325325717676,-0.0786981214836622,-0.14767452530405,-0.153976652975889,-0.147497169292442,-0.0457924642006749,-0.072988608047365,0.078314988855537,-0.177771374999531,-0.0358490178265026,-0.0432419748969074
"Abomasum_2",-0.0831226013712549,0.012861127852859,0.0285419145647038,-0.205804506991714,0.0347061659280443,-0.109911269912339,-0.1185133986247,-0.163458369914176,-0.0690789396617941,-0.133650518404836,-0.0459871277119967,0.0160645773693552,-0.0267335658523707,-0.139632404689787,-0.0246889494176283,-0.0372725011555364
"Abomasum_20",-0.0131946343871722,0.0133384387109559,-0.0581552442989482,-0.17296857687227,-0.0834041505333778,0.102181291892825,-0.140117632064102,-0.003356892913134,-0.0878623127107526,-0.130539525525123,-0.055623674836968,0.166741551106179,0.86585957604984,-0.288299129333153,-0.0233731728817196,0.0124118388551475
"Abomasum_21",-0.0512839818489036,0.177824154382164,-0.0259404274403107,-0.196378350215976,0.0387373767738819,-0.147431298203142,-0.0878135387334289,-0.0921063720503836,0.641238986289164,-0.138144582457801,-0.0137433568772149,0.100925984126971,-0.0765632979503932,-0.135515377956289,-0.0689608947249593,-0.000589045550122248
"Abomasum_3",-0.0839199919121752,-0.0414417361372677,0.0269704122873519,-0.149854747751291,0.0109064309999761,-0.0758488718309959,-0.112380577568687,-0.12753351577956,-0.134359718678265,-0.105786472315971,-0.0252256028276116,-0.056481161867185,0.0019773005198399,-0.169564122462836,0.0121118778365813,-0.043832136529279
"Abomasum_4",0.0301267372418597,0.275520054025651,-0.0993724668836617,-0.335280631866874,-0.0117641216070801,-0.121851295753357,-0.153840651203844,-0.121314377269184,0.461831399686786,0.23982940502438,0.0236096086062437,0.31824773231101,-0.0920713109042546,-0.250454390722561,0.0213100668174921,0.0859385064414505
"Abomasum_5",-0.0558980050106271,0.160399253909178,0.030019545737954,-0.189507827610738,0.131207168321031,-0.0936776229517859,-0.1225809382882,-0.145395215124156,0.149057282103481,-0.0934900599921731,-0.047385689241709,0.0613229301436585,-0.00987346414556224,-0.115404501650516,-0.00353903243899476,-0.0505145073926812
"Abomasum_6",-0.09481908352173,-0.0901696299053879,0.0387292003325322,-0.156226001404159,0.0129260070028986,-0.0511084111565531,-0.140921166446619,-0.156350535514888,-0.247615330493809,-0.0897243577267591,-0.0772455494459806,-0.0925387877742723,0.00634346688275965,-0.134193024953862,-0.0350071048189469,-0.0548381954231979
"Abomasum_7",-0.0633142343585181,0.083152957717121,-0.0269969381296571,-0.197893607958762,-0.0994138527469274,-0.0575562435042108,0.132072466920176,-0.0559536400066201,-0.107314223667676,-0.12683091155438,0.0503769920680824,0.0560393076067914,-0.0592852834733492,-0.480943898123489,-0.0276872237857819,-0.0189539260933981
"Abomasum_8",-0.0355688074649611,-0.0133579815216119,-0.000810314900360006,0.0625416297778006,-0.0284891361697997,-0.0321381790116996,-0.0700210110635051,-0.0598320509625172,-0.075285040619701,-0.122268887573272,-0.026414321149456,-0.111919343453684,-0.022265202313534,-0.113220944373729,-0.0470195501338886,-0.0621212589472983
"Abomasum_9",-0.0398645497420756,-0.00789039036844727,0.0500012216595562,-0.208767909920513,0.020395454866544,-0.0224466631885094,-0.0670033348422968,-0.0955386480347495,0.188628880151681,-0.0903645486588713,-0.0331580663970897,-0.0949902577661907,-0.0368686867523228,0.26745228434061,-0.0118141590227833,-0.0839058427627368
