"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.76295074378055e-254,0.90002488593309,0.996,0.863,7.69526812817017e-250,"0","LUM"
1.36540843019899e-105,0.749142334576808,0.868,0.705,1.82322987684471e-101,"0","FLNA"
8.8236019898413e-92,0.392819943459451,1,0.97,1.17821557370351e-87,"0","5-8S-rRNA.4"
2.44561277986645e-91,0.441253551831788,0.295,0.092,3.26562674495567e-87,"0","CALD1"
5.19925374926594e-89,0.291798597474838,1,1,6.9425635313948e-85,"0","ACTB"
2.51149505209985e-86,0.511115591434584,0.713,0.538,3.35359934306893e-82,"0","ATN1"
2.15827807908274e-81,0.306567663614208,1,0.991,2.88194871899918e-77,"0","AHNAK"
1.23304376348477e-77,0.834034479302893,0.606,0.417,1.64648333738121e-73,"0","MYL9"
8.15086087501523e-72,0.473249569683307,0.957,0.802,1.08838445264078e-67,"0","CAVIN1"
7.30333593321082e-57,0.445931209704758,0.547,0.372,9.7521444716164e-53,"0","STAB1"
1.71554001286693e-50,0.490356461636053,0.419,0.247,2.29076057918121e-46,"0","THBS4"
6.02665739639021e-50,0.26631645061684,0.996,0.981,8.04739562139985e-46,"0","UBC"
1.21831088911996e-48,0.840230390534162,0.514,0.367,1.62681053024189e-44,"0","ACTA2"
2.06392711025099e-45,0.270237458931746,0.989,0.861,2.75596187031815e-41,"0","SPARC"
1.41820587985221e-37,0.533487047858024,0.334,0.202,1.89373031136666e-33,"0","TPM2"
1.03382189010415e-36,0.439538925431561,0.876,0.729,1.38046236985607e-32,"0","VIM"
1.70798430351073e-27,0.408475159770906,0.684,0.607,2.28067144047787e-23,"0","CSRP1"
1.22436134514407e-20,0.340375293650618,0.661,0.614,1.63488970417088e-16,"0","TPM1"
4.59478882755454e-17,0.251579446509645,0.417,0.33,6.13542152143358e-13,"0","ELN"
9.43371856150202e-08,0.460449734967898,0.337,0.298,0.00125968443951737,"0","CLDN5"
9.94929297982105e-05,0.271098550563437,0.411,0.391,1,"0","IGFBP3"
0,0.533577786928506,1,1,0,"1","RPLP1"
9.36734580143997e-256,0.395741799983027,1,0.999,1.25082168486628e-251,"1","KRT5"
1.94942718200201e-234,0.314526121720712,1,1,2.60307011612728e-230,"1","RPS28"
3.03317668473452e-205,0.778160766544837,0.983,0.946,4.050200827126e-201,"1","MT2A"
2.99715264980517e-195,0.55687991721321,0.998,0.992,4.00209793328484e-191,"1","RPL12"
1.26093547661534e-190,0.413055839100478,1,1,1.68372714192447e-186,"1","NPAS2"
3.98124093655759e-185,0.516884187613128,0.998,0.995,5.31615102258536e-181,"1","RPS6"
1.16945642502549e-184,0.497555041702564,0.998,0.996,1.56157516433654e-180,"1","RPL23A"
1.39967117204292e-179,0.294689633141256,1,1,1.86898091602891e-175,"1","RPL32"
2.21514486999619e-178,0.470074046990967,1,1,2.95788294490591e-174,"1","RPSA"
9.60032161084619e-172,0.504200743630244,0.996,0.995,1.28193094469629e-167,"1","RPL37"
7.87882447895291e-162,0.31015498082564,1,1,1.05205943267458e-157,"1","RPS19"
3.47127956157062e-161,0.393295754270135,1,1,4.63519959856525e-157,"1","RPL35A"
1.67555066716066e-147,0.342090392800287,1,1,2.23736280585963e-143,"1","RPL37A"
2.41655546062331e-147,0.599436674696753,0.952,0.928,3.2268265065703e-143,"1","ZC3H10"
3.25005899617814e-142,0.320605856898116,1,0.999,4.33980377759666e-138,"1","ENSBTAG00000036116"
1.94135975163745e-138,0.30555713582508,1,0.999,2.59229767636149e-134,"1","S100A4"
4.39821272034603e-137,0.354278766204599,0.999,1,5.87293344547805e-133,"1","RPL10A"
6.01838465744393e-136,0.547442773970005,0.884,0.738,8.03634903308488e-132,"1","RPL17"
1.09452241681963e-134,0.474559943392293,0.978,0.963,1.46151578317925e-130,"1","RPL11"
2.73028062424785e-128,0.417817765470555,0.999,0.996,3.64574371755816e-124,"1","TMSB4X"
1.39982085917087e-122,0.337383082357559,0.999,0.999,1.86918079325086e-118,"1","RPL27"
1.11794699333242e-120,0.268230824352603,1,1,1.49279462019677e-116,"1","RPL30"
8.83808067782196e-120,0.288860562849186,1,1,1.18014891290957e-115,"1","EEF1A1"
1.1502729935126e-117,0.552088153431207,0.97,0.938,1.53595952823738e-113,"1","MT1E.1"
5.07266084751201e-117,0.312773854024961,1,0.995,6.77352402968278e-113,"1","KRT15"
6.67984312372437e-113,0.25603305564688,1,1,8.91959452310916e-109,"1","RPL35"
2.63436629066292e-110,0.348162251471396,0.998,0.994,3.51766930792219e-106,"1","HADH"
6.07487638384391e-110,0.385785818520033,0.386,0.127,8.11178243534677e-106,"1","IFI27"
3.27814150418962e-109,0.405558304991053,0.982,0.949,4.37730235054441e-105,"1","MIF"
6.06365751706305e-108,0.274384884151153,1,1,8.09680188253429e-104,"1","RPL36"
1.51409550155743e-106,0.262328928786108,1,1,2.02177172322964e-102,"1","RPS4X"
3.06684742668945e-105,0.288928928610177,1,0.999,4.09516136885842e-101,"1","RPL9"
2.46498696191475e-101,0.314183347878157,0.999,1,3.29149709024477e-97,"1","RPS15A"
1.56488534971289e-95,0.283051967722494,1,1,2.08959140747162e-91,"1","TPT1"
1.22262535528593e-94,0.278032127470978,1,1,1.6325716369133e-90,"1","RPS23"
1.71438070316153e-90,0.313437152273127,0.998,0.988,2.28921255293159e-86,"1","ENSBTAG00000048781"
